 ,English,Français,简体中文,繁體中文,日本語,Русский,Українська,Deutsch,Español,Português (Brasil),한국어
"PerkDescription_EmergencyTunnel","{1} <style=UsePerNight>Use per night</style> for every {2} item.
Unlocks the {0} skill, allowing the Hero to <style=KeyWord>teleport</style> to a Haven tile.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1} <style=UsePerNight>Utilisation par nuit</style> pour chaque objet {2}.
Débloque la compétence {0}, donnant la possibilité au Héros de se <style=KeyWord>téléporter</style> sur une case du Bastion.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每有{2}物品，<style=UsePerNight>每晚使用次数</style>{1}。
解锁 {0} 技能, 允许英雄 <style=KeyWord>传送</style> 至城镇内的某一格。
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","每有{2}物品，<style=UsePerNight>每晚使用次數</style>{1}。
解鎖 {0} 技能, 允許英雄 <style=KeyWord>傳送</style> 至城鎮內的某一格。
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","{2}アイテムごとに<style=UsePerNight>1夜あたりの使用回数</style>{1}。
{0}スキルを解放し、英雄を町のタイルへ<style=KeyWord>テレポート</style>させる。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","{1} <style=UsePerNight>заряд(а) за ночь</style> за каждый предмет {2}.
Разблокирует навык ""{0}"", позволяющий герою <style=KeyWord>телепортироваться</style> на землю убежища.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","{1} <style=UsePerNight>вик. за ніч</style> за кожний предмет {2}.
Розблокувати вміння {0}, яке дає герою змогу <style=KeyWord>телепортуватися</style> в Прихисток.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","{1} <style=UsePerNight>Nutzung(en) pro Nacht</style> für jeden {2} Gegenstand.
Schaltet die {0} Fähigkeit frei. Erlaubt es dem Helden sich auf ein anderes Stadt-Feld zu <style=KeyWord>teleportieren</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1} <style=UsePerNight>uso(s) por noche</style> por cada objeto {2}.
Desbloquea la habilidad {0}, que permite al héroe <style=KeyWord>teletransportarse</style> a una casilla de refugio.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1} <style=UsePerNight>Uso por noite</style> para cada item {2}.
Desbloqueia a habilidade {0}, permitindo ao Herói <style=KeyWord>teleportar-se</style> a uma casa dentro do Abrigo.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{2} 아이템마다 <style=UsePerNight>하룻밤 사용 횟수</style> {1}회
{0} 스킬 잠금 해제: 영웅이 피난처 타일로 <style=KeyWord>순간이동</style> 가능
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_JollyDrinker","{1} {2} equipment slot.
Whenever a <style=KeyWord>Potion</style> is <style=KeyWord>used</style> on the Hero:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1} emplacement d'équipement {2}.
Quand une <style=KeyWord>Potion</style> est <style=KeyWord>utilisée</style> sur le Héros<nbsp>:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1}{2}装备栏位
每当英雄<style=KeyWord>使用</style><style=KeyWord>药水</style>时：
{0}。
<style=""DwarfIcon""></style><style=""DwarfText"">《卢恩堡的矮人》DLC</style>","{1}{2}裝備欄位
當英雄<style=KeyWord>使用</style><style=KeyWord>藥水</style>時：
{0}。
<style=""DwarfIcon""></style><style=""DwarfText"">〈盧恩堡的矮人〉DLC</style>","装備スロット {1} {2}。
英雄に<style=KeyWord>秘薬</style>が<style=KeyWord>使われる</style>と:
{0}。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","{1} яч. снаряжения ({2}).
Если герой <style=KeyWord>использует</style> <style=KeyWord>зелье</style>:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","{1} комірка для обладнання в {2}.
Коли <style=KeyWord>зілля</style> <style=KeyWord>використовують</style> на героя:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1} {2} Ausrüstungsplätze.
Immer wenn ein <style=KeyWord>Trank</style> auf den Helden <style=KeyWord>angewendet</style> wird:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","{1} ranura de equipo en la {2}.
Cuando se <style=KeyWord>usa</style> una <style=KeyWord>poción</style> en el héroe:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1} espaço(s) de {2}.
Sempre que uma <style=KeyWord>Poção</style> for <style=KeyWord>usada</style> no Herói:
{0}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","{1} {2} 장비 슬롯
영웅에게 <style=KeyWord>물약</style>을 <style=KeyWord>사용</style>할 때마다:
{0}
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_ShowerofBlows","Whenever an enemy is <style=""KeyWord"">hit</style>:
{0}, up to {4}.
{1}, down to {5}.
<style=""KeyWord"">Missing</style> an enemy <style=""KeyWord"">resets</style> this modifier.
<style=Attenuated>This modifier is reset every turn.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Quand un ennemi est <style=""KeyWord"">touché</style><nbsp>:
{0}, jusqu'a {4}.
{1}, jusqu'a {5}.
<style=""KeyWord"">Manquer</style> un ennemi <style=""KeyWord"">réinitialise</style> ce modificateur.
<style=Attenuated>Ce modificateur est réinitialisé chaque matin.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每当有敌人被<style=""KeyWord"">击中</style>时：
{0}，最高可达{4}。
{1}，最低至{5}。
<style=""KeyWord"">未击中</style>敌人时<style=""KeyWord"">重置</style>该加成。
<style=Attenuated>该加成每天早上会重置。</style>
<style=""DwarfIcon""></style><style=""DwarfText"">《卢恩堡的矮人》DLC</style>","當有敵人<style=""KeyWord"">被擊中</style>時：
{0}，最高{4}。
{1}，最低{5}。
<style=""KeyWord"">未擊中</style>敵人時<style=""KeyWord"">重置</style>此加成。
<style=Attenuated>此加成在每個白天重置。</style>
<style=""DwarfIcon""></style><style=""DwarfText"">〈盧恩堡的矮人〉DLC</style>","エネミーに<style=""KeyWord"">攻撃が命中</style>するたび:
{0}。最大{4}。
{1}、最低{5}まで。
<style=""KeyWord"">エネミーを見失う</style>とこの効果は<style=""KeyWord"">リセット</style>される。
<style=Attenuated>この効果は毎朝リセットされる。</style>
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","Каждый раз, когда герой <style=""KeyWord"">попадает</style> по врагу:
{0} (не более {4});
{1} (не более {5}).
<style=""KeyWord"">Промах</style> <style=""KeyWord"">сбрасывает</style> этот эффект.
<style=Attenuated>Эффект сбрасывается каждое утро.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","За кожного ворога, що зазнає <style=""KeyWord"">удару</style>:
{0}, не більше ніж {4}.
{1}, до {5}.
<style=""KeyWord"">Хибний</style> удар <style=""KeyWord"">скидає</style> цей модифікатор.
<style=Attenuated>Щоранку цей модифікатор скидається.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Immer wenn ein Gegner <style=""KeyWord"">getroffen</style> wird:
{0}, bis zu {4}.
{1}, bis zu {5}.
<style=""KeyWord"">Das Verfehlen</style> eines Gegners <style=""KeyWord"">setzt</style> diesen Modifikator zurück.
<style=Attenuated>Dieser Modifikator wird jeden Morgen zurückgesetzt.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Cada vez que se <style=""KeyWord"">golpee</style> a un enemigo:
{0} (con tope en el {4}).
{1} (con tope en el {5}).
Al <style=""KeyWord"">fallar</style> el golpe, <style=""KeyWord"">reinicias</style> este modificador.
<style=Attenuated>Este modificador se reinicia cada mañana.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","Sempre que um inimigo for <style=""KeyWord"">golpeado</style>:
{0}, até {4}.
{1}, até {5}.
<style=""KeyWord"">Errar</style> um inimigo <style=""KeyWord"">redefinirá</style> este modificador.
<style=Attenuated>Este modificador é redefinido todas as manhãs.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","적이 <style=""KeyWord"">피격</style>당할 때마다:
{0}, 최대 {4}
{1} (최대 {5}까지)
<style=""KeyWord"">적에 대한 공격이 빗나갈</style> 경우 이 보정치 <style=""KeyWord"">초기화</style>
<style=Attenuated>이 보정치는 매일 아침 초기화.</style>
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_FearOfDeath","Whenever an enemy is <style=""KeyWord"">hit</style>:
{0}. {2}.
<style=""KeyWord"">Landing</style> a <style=critical>critical hit</style> <style=""KeyWord"">resets</style> this bonus.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Quand un ennemi est <style=""KeyWord"">touché</style><nbsp>:
{0}. {2}.
<style=""KeyWord"">Infliger</style> un <style=critical>coup critique</style> <style=""KeyWord"">réinitialise</style> ce bonus.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每当有敌人 <style=""KeyWord"">被击中</style>时:
{0}. {2}.
<style=""KeyWord"">产生</style> <style=critical>暴击</style>时，<style=""KeyWord"">重置</style>该加成.
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","每當有敵人 <style=""KeyWord"">被擊中</style>時:
{0}. {2}.
<style=""KeyWord"">產生</style> <style=critical>暴擊</style>時，<style=""KeyWord"">重置</style>該加成.
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","1体の敵を<style=""KeyWord"">攻撃する</style>毎に：
{0}。{2}。
<style=critical>会心ヒット</style>が<style=""KeyWord"">発生する</style>と、このボーナスは<style=""KeyWord"">リセット</style>される。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","За каждое <style=""KeyWord"">попадание</style> по врагу:
{0}. {2}.
Если <style=""KeyWord"">нанесён</style> <style=critical>критический удар</style>, бонус <style=""KeyWord"">сбрасывается</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","Щоразу, коли ви завдаєте <style=""KeyWord"">удару</style> ворогові:
{0}. {2}.
<style=""KeyWord"">Кожен</style> <style=critical>критичний удар</style> <style=""KeyWord"">скидає</style> цей бонус.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Immer wenn ein Feind <style=""KeyWord"">getroffen</style> wird:
{0}. {2}.
<style=""KeyWord"">Das Landen</style> eines <style=critical>kritischen Treffers</style> <style=""KeyWord"">setzt</style> diesen Bonus <style=""KeyWord"">zurück</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Cada vez que se <style=""KeyWord"">golpee</style> a un enemigo:
{0}. {2}.
<style=""KeyWord"">Infligir</style> un <style=critical>golpe crítico</style> <style=""KeyWord"">reinicia</style> esta bonificación.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","Sempre que um inimigo for <style=""KeyWord"">golpeado</style>:
{0}. {2}.
<style=""KeyWord"">Realizar</style> um <style=critical>acerto crítico</style> <style=""KeyWord"">redefinirá</style> este bônus.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","적이 <style=""KeyWord"">피격</style>당할 때마다:
{0}. {2}.
<style=critical>치명타</style>가 <style=""KeyWord"">적중</style>하면 해당 보너스 <style=""KeyWord"">초기화</style>
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkEffectInformations_FearOfDeath","{1}. {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}","{1} {3}"
"PerkDescription_LikeAShark","When attacking a <style=""Wound"">wounded</style> <style=Keyword>enemy</style>, the attack gets:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","En attaquant un <style=Keyword>ennemi</style> <style=Wound>blessé</style>, l'attaque obtient<nbsp>:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","攻击 <style=""Wound"">已受伤</style> 的 <style=Keyword>敌人</style> 时, 该次攻击获得:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","攻擊 <style=""Wound"">已受傷</style> 的 <style=Keyword>敵人</style> 時, 該次攻擊獲得:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","<style=""Wound"">負傷した</style><style=Keyword>エネミー</style>を攻撃する毎に、その攻撃は以下を獲得:
{0} <style=PerkDamage>Perk Damage</style>。
{1}。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","При атаке <style=""Wound"">раненого</style> <style=Keyword>врага</style> атака получает:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","Якщо ви атакуєте <style=""Wound"">пораненого</style> <style=Keyword>ворога</style>, атака отримує:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Wenn du einen <style=""Wound"">verwundeten</style> <style=Keyword>Gegner</style> angreifst, erhält der Angriff:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Al atacar a un <style=Keyword>enemigo</style> <style=""Wound"">herido</style>, el ataque obtiene:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","Quando atacar um <style=Keyword>inimigo</style> <style=""Wound"">ferido</style>, o ataque recebe:
{0} <style=PerkDamage>Perk Damage</style>.
{1}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","<style=""Wound"">부상</style>당한 <style=Keyword>적</style> 공격 시, 해당 공격에 부여:
{0} <style=PerkDamage>Perk Damage</style>
{1}
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_EarthquakeStrike","Every {1} enemies <style=KeyWord>hit</style>: Next skill Applies {0} to all <style=KeyWord>adjacent</style> enemies around the primary target.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Tous les {1} ennemis <style=KeyWord>touchés</style><nbsp>: Prochaine compétence applique {0} à tous les ennemis <style=KeyWord>adjacents</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每 <style=KeyWord>击中</style> {1} 名敌人: 
下一个技能对所有 <style=KeyWord>相邻的</style> 敌人施加 {0} .
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","每 <style=KeyWord>擊中</style> {1} 名敵人: 
下一個技能對所有 <style=KeyWord>相鄰的</style> 敵人施加 {0} .
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","{1}体のエネミーを<style=KeyWord>攻撃する</style>毎に: 
次のスキルで<style=KeyWord>隣接する</style>すべてのエネミーに{0}を付与する。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","При <style=KeyWord>попадании</style> по {1} врагам:
Следующий навык применяет {0} ко всем <style=KeyWord>смежным</style> врагам.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","За кожні {1} ворогів, які зазнають <style=KeyWord>удару</style>: 
наступне вміння застосує {0} до всіх ворогів <style=KeyWord>поряд</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Alle {1} <style=KeyWord>getroffenen</style> Feinde: 
Nächste Fähigkeit wendet {0} auf alle <style=KeyWord>benachbarten</style> Feinde an.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Por cada {1} enemigos <style=KeyWord>golpeados</style>: 
Próxima habilidad aplica {0} a todos los enemigos <style=KeyWord>adyacentes</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","A cada {1} inimigos <style=KeyWord>golpeados</style>: 
Próxima habilidade aplica {0} a todos os inimigos <style=KeyWord>próximos</style>.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","적 {1}명에 <style=KeyWord>명중</style>할 때마다: 
다음 스킬이 모든 <style=KeyWord>인접</style> 적에게 {0} 적용
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkDescription_AgainstTheWall","Whenever the Hero is <style=KeyWord>adjacent to a building, defense or obstacle</style>:
{0}, increased by {1} for each <style=KeyWord>Level</style> of the Hero.
{3}, increased by {4} for each <style=KeyWord>Level</style> of the Hero.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Quand le Héros est <style=KeyWord>adjacent à un bâtiment, une défense ou un obstacle</style><nbsp>:
{0}, augmenté de {1} pour chaque <style=KeyWord>niveau</style> du Héros.
{3}, augmenté de {4} pour chaque <style=KeyWord>niveau</style> du Héros.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","英雄与 <style=KeyWord>建筑、防御设施或障碍物相邻</style>时:
{0}, 英雄<style=KeyWord>等级</style>每有一点增加 {1} .
{3}, 英雄<style=KeyWord>等级</style>每有一点增加 {4} .
<style=""DwarfIcon""></style><style=""DwarfText"">卢恩堡的矮人DLC</style>","英雄與 <style=KeyWord>建築、防禦設施或障礙物相鄰</style>時:
{0}, 英雄<style=KeyWord>等級</style>每有一點增加 {1} .
{3}, 英雄<style=KeyWord>等級</style>每有一點增加 {4} .
<style=""DwarfIcon""></style><style=""DwarfText"">盧恩堡的矮人DLC</style>","英雄が<style=KeyWord>建物や防御壁、障害物の隣にいる場合</style>:
{0}、英雄の各<style=KeyWord>レベル</style>毎に{1}ずつ増加する。
{3}、英雄の各<style=KeyWord>レベル</style>毎に{4}ずつ増加する。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","Если в <style=KeyWord>смежной с героем ячейке есть здание, укрепление или препятствие</style>:
{0} плюс {1} за каждый <style=KeyWord>уровень</style> героя.
{3} плюс {4} за каждый <style=KeyWord>уровень</style> героя.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","Якщо герой <style=KeyWord>поруч зі спорудою, захистом або перешкодою</style>:
{0}, що збільшується на {1} за кожен <style=KeyWord>рівень</style> героя.
{3}, що збільшується на {4} за кожен <style=KeyWord>рівень</style> героя.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC «Dwarves of Runenberg»</style>","Steht der Held <style=KeyWord>neben einem Gebäude, Hindernis oder einer Verteidigung</style> erhalte:
{0}, um {1} erhöht für jedes <style=KeyWord>Level</style> des Helden.
{3}, um {4} erhöht für jedes <style=KeyWord>Level</style> des Helden.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Siempre que el héroe esté <style=KeyWord>adyacente a un edificio, una defensa o un obstáculo</style>:
{0}, que aumenta en {1} por cada <style=KeyWord>nivel</style> del héroe.
{3}, que aumenta en {4} por cada <style=KeyWord>nivel</style> del héroe.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","Sempre que o Herói estiver <style=KeyWord>próximo a uma construção, defesa ou obstáculo</style>:
{0}, com aumento de {1} para cada <style=KeyWord>Nível</style> do Herói.
{3}, com aumento de {4} para cada <style=KeyWord>Nível</style> do Herói.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","영웅이 <style=KeyWord>건물, 방어 시설, 장애물</style>에 인접해 있을 때마다:
{0} (영웅 <style=KeyWord>레벨</style> 하나당 {1}만큼 증가)
{3} (영웅 <style=KeyWord>레벨</style> 하나당 {4}만큼 증가)
<style=""DwarfIcon""></style><style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
"PerkEffectInformations_AgainstTheWall","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}","{2}
{5}"
"PerkDescription_StoneheartShield","Every {3} enemies <style=Keyword>killed</style>: {0}, up to {1}.
<style=Attenuated>The bonus lasts as long as the Hero keeps this item.</style>
Increases <style=KeyWord>Maximum</style> {6} by {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Tous les {3} ennemis <style=Keyword>tués</style><nbsp>: {0}, jusqu'à un maximum de {1}.
<style=Attenuated>Ce bonus dure tant que le héros conserve cet objet.</style>
Augmente le <style=KeyWord>Maximum</style> de {6} de {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","每<style=Keyword>击杀</style>{3}个敌人：{0}，最高可达{1}。
<style=Attenuated>只要英雄持有该物品，该加成就会一直存在。</style>
{6}<style=KeyWord>上限</style>提高{5}。
<style=""DwarfIcon""></style><style=""DwarfText"">《卢恩堡的矮人》DLC</style>","每<style=Keyword>擊殺</style>{3}個敵人：{0}，最高{1}。
<style=Attenuated>英雄持有此物品時，效果會持續生效。</style>
{6}<style=KeyWord>最大值</style>提升{5}。
<style=""DwarfIcon""></style><style=""DwarfText"">〈盧恩堡的矮人〉DLC</style>","{3}体のエネミーを<style=Keyword>倒す</style>毎に: {0}、最大{1}まで。
<style=Attenuated>このボーナスは英雄がこのアイテムを所持している間、持続する。</style>
<style=KeyWord>最大</style>{6}が{5}増加する。
<style=""DwarfIcon""></style><style=""DwarfText"">ルーネンベルクのドワーフDLC</style>","За {3} <style=Keyword>убитых</style> врагов: {0} (не более {1}).
<style=Attenuated>Бонус сохраняется до тех пор, пока предмет остаётся при нём.</style>
Повышает <style=KeyWord>макс.</style> {6} на {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">Дополнительный контент ""Dwarves of Runenberg""</style>","За кожних {3} <style=Keyword>убитих</style> ворогів: {0}, але не більше ніж {1}.
<style=Attenuated>Бонус триває, поки в героя є ця річ.</style>
Збільшує <style=KeyWord>макс.</style> {6} на {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Jedes Mal, wenn {3} Gegner <style=Keyword>getötet</style> werden: {0}, bis zu {1}.
<style=Attenuated>Der Bonus hält an, solange der Held diesen Gegenstand trägt.</style>
Erhöht den <style=KeyWord>Maximalwert</style> von {6} um {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">Dwarves of Runenberg DLC</style>","Por cada {3} enemigos <style=Keyword>muertos</style>: {0}, hasta un máximo de {1}.
<style=Attenuated>La bonificación se mantiene mientras el héroe conserve este objeto.</style>
Aumenta el <style=KeyWord>máximo</style> de {6} en {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","A cada {3} inimigos <style=Keyword>abatidos</style>: {0}, até no máximo {1}.
<style=Attenuated>A bonificação dura enquanto o Herói continuar com o item.</style>
Aumenta {6} <style=KeyWord>Máx.</style> em {5}.
<style=""DwarfIcon""></style><style=""DwarfText"">DLC Dwarves of Runenberg</style>","적 {3}명을 <style=Keyword>처치</style>할 때마다: {0} (최대 {1})
<style=Attenuated>보너스는 영웅이 이 아이템을 보유하고 있는 동안 계속 지속</style>
<style=KeyWord>최대</style> {6} {5}만큼 증가
<style=""DwarfIcon""></style> <style=""DwarfText"">루넨베르크의 드워프 DLC</style>"
